Statement_ZH,Statement_EN,Petition_ZH,Petition-EN,Similarity_Score,Number_of_Votes
您是否贊成對假新聞開罰？假新聞刻意以傳統新聞媒體或社群媒體為媒介來傳播錯誤資訊，並從中牟取政治或經濟利 益。近來有心人士常利用假新聞來操作及引導輿論方向，成為大眾關切的重大問題。言論自由不能無限上綱，必須防範 有心人士利用假新聞操控台灣民意，遏止新聞環境繼續劣化。在假新聞定義尚未明確的情況下開罰，恐對言論自由造成 重大傷害。,"Do you support the introduction of fines for fake news? Fake news deliberately uses traditional news media or social media as a medium to spread misinformation and make political or financial gains from it. Recently, the use of fake news to manipulate and steer public opinion has become a major public concern. Freedom of speech cannot be unlimited. We must prevent people with intentions from using fake news to manipulate Taiwan's public opinion and prevent the news environment from continuing to deteriorate. Penalties when the definition of fake news is not yet clear may cause significant harm to freedom of speech.",國家應紀錄平面、電視媒體不實報導然定期國民公開資訊正確內容 1.提供正確資訊給國民常有媒體傳播假新聞判決書 錯誤解讀認為應該紀錄媒體確實報導定期公開資料正確資訊國家不該管控媒體但針國家能證實媒體不實報導國家應該國 民告知真像責任,The state should record the inaccurate reports of the print and TV media and regularly disclose the correct information to the people 1. provide correct information to the people often the media spreads false news Judgment misinterpreted that the media should record the accurate information of the regular public information The state should not control the media but target the state can confirm the inaccurate reports of the media The state should inform the people about the responsibility of the truth,0.664387226,46
您是否贊成對假新聞開罰？假新聞刻意以傳統新聞媒體或社群媒體為媒介來傳播錯誤資訊，並從中牟取政治或經濟利 益。近來有心人士常利用假新聞來操作及引導輿論方向，成為大眾關切的重大問題。言論自由不能無限上綱，必須防範 有心人士利用假新聞操控台灣民意，遏止新聞環境繼續劣化。在假新聞定義尚未明確的情況下開罰，恐對言論自由造成 重大傷害。,"Do you support the introduction of fines for fake news? Fake news deliberately uses traditional news media or social media as a medium to spread misinformation and make political or financial gains from it. Recently, the use of fake news to manipulate and steer public opinion has become a major public concern. Freedom of speech cannot be unlimited. We must prevent people with intentions from using fake news to manipulate Taiwan's public opinion and prevent the news environment from continuing to deteriorate. Penalties when the definition of fake news is not yet clear may cause significant harm to freedom of speech.",打擊假新聞仇恨言論，提升媒體自律提議。藉由修社維法、頒訂新法設置網路平台監管獨立機關，建立防線打擊假新聞 仇恨言論，新聞媒體遵守自律專業，提升民眾閱聽媒體識讀權益。社會秩序維護法修法新增利用社群、論壇通訊網路平 台，不當散佈轉傳假新聞仇恨言論，意圖激化對立、破壞社會秩序、影響政黨政治民主機制運作行為者罰則。頒定平面 媒體、廣電及網路媒體適用管理法規，取代廢止出版法及現廣電三法，改採第三方調查，提高罰則撤照最終手段，確實 恪守媒體業者自律之作。營利及非營利性質社群、論壇通訊網路平台，應設置確認監管獨立機關，確保網路平台業者恪 守自律之責。,"Crack down on fake news and hate speech, and promote self-regulation of the media. By amending the Social Order Maintenance Act and enacting a new law to establish an independent authority to regulate online platforms, a line of defense is established to combat fake news and hate speech, and the news media complies with self-regulation and professionalism to enhance the public's right to read and understand the media. The amendment to the Social Order Maintenance Act adds new penalties for those who use social networks, forums, and communication platforms to improperly disseminate fake news and hate speech with the intent of intensifying confrontation, disrupting social order, and influencing the operation of political parties and democratic mechanisms. The law promulgates regulations applicable to print media, broadcasting and online media, replacing the repeal of the Publication Act and the three existing broadcasting laws, replacing them with third-party investigations, and increasing the penalty for revocation of licenses as the ultimate means to ensure that the media industry abides by self-regulation. Independent regulatory authorities should be established for profitmaking and non-profit community and forum communication online platforms to ensure that online platform operators adhere to their self-regulatory responsibilities.",0.658150971,163
您是否贊成對假新聞開罰？假新聞刻意以傳統新聞媒體或社群媒體為媒介來傳播錯誤資訊，並從中牟取政治或經濟利 益。近來有心人士常利用假新聞來操作及引導輿論方向，成為大眾關切的重大問題。言論自由不能無限上綱，必須防範 有心人士利用假新聞操控台灣民意，遏止新聞環境繼續劣化。在假新聞定義尚未明確的情況下開罰，恐對言論自由造成 重大傷害。,"Do you support the introduction of fines for fake news? Fake news deliberately uses traditional news media or social media as a medium to spread misinformation and make political or financial gains from it. Recently, the use of fake news to manipulate and steer public opinion has become a major public concern. Freedom of speech cannot be unlimited. We must prevent people with intentions from using fake news to manipulate Taiwan's public opinion and prevent the news environment from continuing to deteriorate. Penalties when the definition of fake news is not yet clear may cause significant harm to freedom of speech.",提高公共政策網路參平台提案門檻嚴謹度剔除有心人士製造假議題造成。1) 5000門檻太低數字。白宮願聯署門檻10萬人我建議提案門檻設為總人口數的千分之一2萬3千人或取整數2萬人。2)認證機制太草率如兒戲杜絕殭屍假帳號重複投票附議提案附議應以正確身分證字號或護照編。,"Raise the public policy online participation platform proposal threshold, block people with intention to create fake issues, which causes social conflicts and results in wasting resources. 1) The threshold of 5000 is too low. The White House wants to establish a threshold of 100,000 people. I suggest that threshold should be 23,000 or a round number, e.g., 20,000. 2) There are too many loopholes in the authentication mechanism, it’s like a child’s play. It is necessary to prevent re-voting by zombie and fake accounts. When submitting a proposal and verifying it, you should need to enter your ID number or upload your photo.",0.59619987,9
您是否贊成對假新聞開罰？假新聞刻意以傳統新聞媒體或社群媒體為媒介來傳播錯誤資訊，並從中牟取政治或經濟利 益。近來有心人士常利用假新聞來操作及引導輿論方向，成為大眾關切的重大問題。言論自由不能無限上綱，必須防範 有心人士利用假新聞操控台灣民意，遏止新聞環境繼續劣化。在假新聞定義尚未明確的情況下開罰，恐對言論自由造成 重大傷害。,"Do you support the introduction of fines for fake news? Fake news deliberately uses traditional news media or social media as a medium to spread misinformation and make political or financial gains from it. Recently, the use of fake news to manipulate and steer public opinion has become a major public concern. Freedom of speech cannot be unlimited. We must prevent people with intentions from using fake news to manipulate Taiwan's public opinion and prevent the news environment from continuing to deteriorate. Penalties when the definition of fake news is not yet clear may cause significant harm to freedom of speech.",現行衛星廣播電視法 27 條第 3、4 項規定製播新聞違反事實查證原，損害公共利益，應由該事業建置自律規範機制調 查作成調查報告，提送主管機關審議。 製播新聞違反事實查證原，損害公共利益，應由該事業建置自律規範機制調查 作成調查報告，提送主管機關審議項目，建議修改內容製播新聞違反事實查證原，損害公共利益，應由該事業建置自律 規範機制、民間事實查核單位組織多方調查作成調查報告，提送主管機關審議向上通報行政院，經確立違反規範者，依 法受罰外，需各大廣電及平面媒體登報公開受罰內容及道歉啟事，屢次犯及情節嚴重者予以撤照處分。,"Items 3 and 4 of Article 27 of the current Satellite Radio and Television Law stipulate that if the production of a news report is found to be in violation of the law and is detrimental to the public interest, an investigation report shall be submitted to the competent authority for consideration by the industry after the establishment of a self-regulatory mechanism. In the event that a violation of the law is found to be detrimental to the public interest, an investigation report shall be made by the self-regulatory mechanism of the business, and submitted to the competent authority for consideration. Those who are found to have violated the regulations shall be punished in accordance with the law and shall be required to publish the contents of the punishment and apology in major broadcasting and print media.",0.589621365,6
您是否贊成對假新聞開罰？假新聞刻意以傳統新聞媒體或社群媒體為媒介來傳播錯誤資訊，並從中牟取政治或經濟利 益。近來有心人士常利用假新聞來操作及引導輿論方向，成為大眾關切的重大問題。言論自由不能無限上綱，必須防範 有心人士利用假新聞操控台灣民意，遏止新聞環境繼續劣化。在假新聞定義尚未明確的情況下開罰，恐對言論自由造成 重大傷害。,"Do you support the introduction of fines for fake news? Fake news deliberately uses traditional news media or social media as a medium to spread misinformation and make political or financial gains from it. Recently, the use of fake news to manipulate and steer public opinion has become a major public concern. Freedom of speech cannot be unlimited. We must prevent people with intentions from using fake news to manipulate Taiwan's public opinion and prevent the news environment from continuing to deteriorate. Penalties when the definition of fake news is not yet clear may cause significant harm to freedom of speech.",公共政策網路參平台留言問題 1.避免越來越人用這種方式宣傳提案，造成真正留言沒幾個，宣傳，留言快速過濾。2. 避免平台內容農場化感覺。公共政策網路參平台每個提案下方留言，提案表達意見，出現廣泛宣傳提案情形。希望平台 這種適當行為，採取必要行動。,"The problem with messages on the Public Policy Network Platform is that 1. more and more people are using this method to advertise their proposals, resulting in few real messages, publicity, and fast filtering of messages. 2. avoiding the feeling of farming the content of the platform. The public policy network participation platform is a message under each proposal, the proposal to express views, there is extensive publicity proposal situation. I hope that the platform will take the necessary action for this appropriate behavior.",0.517428458,6
您是否贊成酒駕應加重刑罰？酒駕事件頻傳，民間促修法加重刑責聲浪不斷。日前立法院更修法規定，酒駕 5 年內再 犯，若導致重傷則處 3 年以上、10 年以下有期徒刑；若致死可處無期徒刑或 5 年以上有期徒刑。刑法之目的本來就在 於嚇阻犯罪的發生，因此提高酒駕的刑責理當能減少酒駕的發生，維護了社會秩序與大眾權益。近年我國加重酒駕刑 責，但因酒駕造成重大傷亡事件仍無法杜絕，同時再犯率亦高。與其繼續加重刑罰，反倒應增加其他具實質強制力的措 施，例如設置酒精鎖。,"Do you agree that the penalty for drink driving should be increased? Drink driving incidents are frequently reported, and the public has been urging the amendment of the law to increase the criminal liability. The Legislative Yuan has recently amended the law to stipulate that repeat offenders of drink driving within 5 years will be punished by imprisonment for more than 3 years and less than 10 years if they cause serious injuries; if they cause death, they can be punished by life imprisonment or imprisonment for more than 5 years. The purpose of the criminal law is to deter crime from happening. Therefore, increasing the criminal responsibility for drunk driving should reduce the occurrence of drunk driving and maintain social order and public rights. In recent years, my country has aggravated the criminal liability of drunk driving, but the serious casualties caused by drunk driving cannot be eliminated, and the recidivism rate is also high. Rather than continue to increase penalties, other substantial coercive measures, such as alcohol locks, should be added.",酒駕重罰酒駕案件層出不窮，顯然情況已經嚴重社會問題，政府修法、立法未能遏止無法使社會眾滿意，民眾依舊暴露 酒駕傷害風險中。 對酒駕犯寬恕埋家庭破碎種子，政府應重視用路生命安全，應設定目標每年減少幾案逐年下降拿出 成績，不要一次次悲劇發生挑出講口號，拿出魄力嚴格執法保障用路，減少遺憾，減少悲劇。,"The government has failed to stop the problem by amending the law and legislating to the satisfaction of the public, who are still exposed to the risk of drink-driving injuries. The government should set a goal to reduce the number of cases each year and produce results year by year, instead of talking about slogans one tragedy at a time.",0.775815308,175
您是否贊成酒駕應加重刑罰？酒駕事件頻傳，民間促修法加重刑責聲浪不斷。日前立法院更修法規定，酒駕 5 年內再 犯，若導致重傷則處 3 年以上、10 年以下有期徒刑；若致死可處無期徒刑或 5 年以上有期徒刑。刑法之目的本來就在 於嚇阻犯罪的發生，因此提高酒駕的刑責理當能減少酒駕的發生，維護了社會秩序與大眾權益。近年我國加重酒駕刑 責，但因酒駕造成重大傷亡事件仍無法杜絕，同時再犯率亦高。與其繼續加重刑罰，反倒應增加其他具實質強制力的措 施，例如設置酒精鎖。,"Do you agree that the penalty for drink driving should be increased? Drink driving incidents are frequently reported, and the public has been urging the amendment of the law to increase the criminal liability. The Legislative Yuan has recently amended the law to stipulate that repeat offenders of drink driving within 5 years will be punished by imprisonment for more than 3 years and less than 10 years if they cause serious injuries; if they cause death, they can be punished by life imprisonment or imprisonment for more than 5 years. The purpose of the criminal law is to deter crime from happening. Therefore, increasing the criminal responsibility for drunk driving should reduce the occurrence of drunk driving and maintain social order and public rights. In recent years, my country has aggravated the criminal liability of drunk driving, but the serious casualties caused by drunk driving cannot be eliminated, and the recidivism rate is also high. Rather than continue to increase penalties, other substantial coercive measures, such as alcohol locks, should be added.",酒駕行為者駕駛車輛處以沒入處分酒駕者使用車輛應處沒入，即為加重懲罰處分。沒入車輛透過拍賣處理，以籌措事故 傷害補償。因酒駕造成傷害事故，其所使用之車輛應可視犯罪工具，酒駕者應負相關罪責，其所使用之車輛應予以沒 入。酒駕事故層出不窮且造成不幸傷亡，波及無辜，加重部分刑責罰鍰，仍難降低減少酒駕造成不幸。,"Driving a vehicle by a drink driver is punishable by forfeiture The use of a vehicle by a drink driver is punishable by forfeiture, which is a heavier penalty. Confiscated vehicles are sold by auction to raise compensation for accidental injuries. The vehicle used to cause the injury caused by drink driving should be considered as an instrument of crime and the drink driver should be held responsible for the offence and the vehicle used should be confiscated. The number of drink driving accidents and the number of deaths and injuries caused by drink driving are numerous and innocent, and the increase of some criminal penalties will not reduce the number of accidents caused by drink driving.",0.721677125,55
您是否贊成酒駕應加重刑罰？酒駕事件頻傳，民間促修法加重刑責聲浪不斷。日前立法院更修法規定，酒駕 5 年內再 犯，若導致重傷則處 3 年以上、10 年以下有期徒刑；若致死可處無期徒刑或 5 年以上有期徒刑。刑法之目的本來就在 於嚇阻犯罪的發生，因此提高酒駕的刑責理當能減少酒駕的發生，維護了社會秩序與大眾權益。近年我國加重酒駕刑 責，但因酒駕造成重大傷亡事件仍無法杜絕，同時再犯率亦高。與其繼續加重刑罰，反倒應增加其他具實質強制力的措 施，例如設置酒精鎖。,"Do you agree that the penalty for drink driving should be increased? Drink driving incidents are frequently reported, and the public has been urging the amendment of the law to increase the criminal liability. The Legislative Yuan has recently amended the law to stipulate that repeat offenders of drink driving within 5 years will be punished by imprisonment for more than 3 years and less than 10 years if they cause serious injuries; if they cause death, they can be punished by life imprisonment or imprisonment for more than 5 years. The purpose of the criminal law is to deter crime from happening. Therefore, increasing the criminal responsibility for drunk driving should reduce the occurrence of drunk driving and maintain social order and public rights. In recent years, my country has aggravated the criminal liability of drunk driving, but the serious casualties caused by drunk driving cannot be eliminated, and the recidivism rate is also high. Rather than continue to increase penalties, other substantial coercive measures, such as alcohol locks, should be added.",加重誘害未成年吸毒者刑責保護國民健康安全。提高誘使未成年吸毒者刑責 12，包括製造毒糖，毒咖啡，毒飲料，故 意提供不知情學生食用，迫使人上癮。前述犯人服刑，本國人終身列管，外國人驅逐出境不終身入境。,"Increase criminal liability for inducing underage drug users to protect national health and safety. Increase the criminal liability of those who induce underage drug use12 , including the production of poisonous sugar, coffee, and beverages, and knowingly providing them to unsuspecting students for consumption, forcing them to become addicted. The aforementioned offenders would be sentenced to life in prison, and foreigners would be expelled from the country and not admitted for life.",0.720976353,160
您是否贊成酒駕應加重刑罰？酒駕事件頻傳，民間促修法加重刑責聲浪不斷。日前立法院更修法規定，酒駕 5 年內再 犯，若導致重傷則處 3 年以上、10 年以下有期徒刑；若致死可處無期徒刑或 5 年以上有期徒刑。刑法之目的本來就在 於嚇阻犯罪的發生，因此提高酒駕的刑責理當能減少酒駕的發生，維護了社會秩序與大眾權益。近年我國加重酒駕刑 責，但因酒駕造成重大傷亡事件仍無法杜絕，同時再犯率亦高。與其繼續加重刑罰，反倒應增加其他具實質強制力的措 施，例如設置酒精鎖。,"Do you agree that the penalty for drink driving should be increased? Drink driving incidents are frequently reported, and the public has been urging the amendment of the law to increase the criminal liability. The Legislative Yuan has recently amended the law to stipulate that repeat offenders of drink driving within 5 years will be punished by imprisonment for more than 3 years and less than 10 years if they cause serious injuries; if they cause death, they can be punished by life imprisonment or imprisonment for more than 5 years. The purpose of the criminal law is to deter crime from happening. Therefore, increasing the criminal responsibility for drunk driving should reduce the occurrence of drunk driving and maintain social order and public rights. In recent years, my country has aggravated the criminal liability of drunk driving, but the serious casualties caused by drunk driving cannot be eliminated, and the recidivism rate is also high. Rather than continue to increase penalties, other substantial coercive measures, such as alcohol locks, should be added.",酒駕、毒駕致死者唯一死刑不想看到許許多多無辜破碎家庭現行法規酒駕者罰責太輕，導致常常有人酒駕肇禍，致人 死，造成家庭支離破碎。,The only death penalty for drink and drug driving deaths is the death penalty for those who do not want to see many innocent broken families.,0.678390563,5510
您是否贊成酒駕應加重刑罰？酒駕事件頻傳，民間促修法加重刑責聲浪不斷。日前立法院更修法規定，酒駕 5 年內再 犯，若導致重傷則處 3 年以上、10 年以下有期徒刑；若致死可處無期徒刑或 5 年以上有期徒刑。刑法之目的本來就在 於嚇阻犯罪的發生，因此提高酒駕的刑責理當能減少酒駕的發生，維護了社會秩序與大眾權益。近年我國加重酒駕刑 責，但因酒駕造成重大傷亡事件仍無法杜絕，同時再犯率亦高。與其繼續加重刑罰，反倒應增加其他具實質強制力的措 施，例如設置酒精鎖。,"Do you agree that the penalty for drink driving should be increased? Drink driving incidents are frequently reported, and the public has been urging the amendment of the law to increase the criminal liability. The Legislative Yuan has recently amended the law to stipulate that repeat offenders of drink driving within 5 years will be punished by imprisonment for more than 3 years and less than 10 years if they cause serious injuries; if they cause death, they can be punished by life imprisonment or imprisonment for more than 5 years. The purpose of the criminal law is to deter crime from happening. Therefore, increasing the criminal responsibility for drunk driving should reduce the occurrence of drunk driving and maintain social order and public rights. In recent years, my country has aggravated the criminal liability of drunk driving, but the serious casualties caused by drunk driving cannot be eliminated, and the recidivism rate is also high. Rather than continue to increase penalties, other substantial coercive measures, such as alcohol locks, should be added.",希望政府對詐騙車手處重罰有助減少國犯罪率達到嚇阻效果希望政府參加看看加害者敢騙別錢要給權難道騙被害者沒人 權?希望政府對詐騙車手以詐騙金額判刑最重希望判 15 最輕至少 10 被害者騙光積蓄判無期徒刑假釋詐騙車手出獄希 望境管出境重者至少境管 20 最輕者境管 15 境管實施話出獄之後還會想辦法出國詐騙,I hope the government will impose heavy penalties on fraudulent drivers to help reduce the national crime rate to achieve the deterrent effect I hope the government will participate to see the victim dare to cheat other money to give the right to cheat the victim no human rights? I hope the government to fraudulent drivers to the amount of fraud sentenced to the heaviest hope to sentence 15 at least 10 victims cheated all the savings sentenced to life imprisonment parole fraudulent drivers out of prison hope that the border control out of the heavy at least the border control 20 at least the lightest border control 15 border control implementation of the case after prison will find ways to go abroad to cheat,0.648263156,26
